year,state,treatment,pupil_expenditure,teacher_salary,stateid,proficieny_mean,log_salary,post
1990,AK,1,12516.0957,73253.13707,1,9.434850645,11.20169,1
1991,AK,1,12570.95508,71502.19702,1,9.439223825,11.17749744,1
1992,AK,1,12279.77148,72583.27181,1,9.415790024,11.19250354,1
1993,AK,1,12011.57129,71697.41642,1,9.393708988,11.18022394,1
1994,AK,1,11819.76172,70553.32977,1,9.377612732,11.16413833,1
1995,AK,1,11716.46484,70354.54072,1,9.368835729,11.16131682,1
1996,AK,1,11439.42383,70388.03481,1,9.344908312,11.16179277,1
1997,AK,1,11236.61328,64670.92621,1,9.327021759,11.07708248,1
1998,AK,1,11241.9502,62667.68908,1,9.327496562,11.04561723,1
1999,AK,1,11526.32129,60812.2299,1,9.352475261,11.01556264,1
2000,AK,1,11670.42871,60937.91564,1,9.364899144,11.01762726,1
1959,AL,0,1628.838623,29388.85295,2,7.396236285,10.28840476,0
1960,AL,0,1629.741821,28995.60006,2,7.396790295,10.27493386,0
1961,AL,0,1649.776123,28950.01416,2,7.409000834,10.27336051,0
1962,AL,0,1792.804077,31087.92931,2,7.492093827,10.34460706,0
1963,AL,0,1939.657715,33075.3449,2,7.570782223,10.40657365,0
1964,AL,0,1859.417603,33060.10323,2,7.528556259,10.40611274,0
1965,AL,0,2272.563477,35650.4254,2,7.729103693,10.48154441,0
1966,AL,0,2390.640381,36881.07481,2,7.779734761,10.51548093,0
1967,AL,0,2736.327148,37376.36356,2,7.91473723,10.52882055,0
1968,AL,0,2572.780029,36812.61575,2,7.853130926,10.51362305,0
1969,AL,0,3039.907715,40503.75262,2,8.01991134,10.60917459,0
1970,AL,0,2580.863525,41453.12082,2,7.856266714,10.63234257,0
1971,AL,0,3342.132324,41656.77215,2,8.114663468,10.63724324,0
1972,AL,0,2878.623047,42280.95484,2,7.965414678,10.65211567,0
1973,AL,0,3937.926514,45497.08817,2,8.278663507,10.72542559,0
1974,AL,0,3626.885498,41236.02676,2,8.19640525,10.62709184,0
1975,AL,0,4163.243164,42950.54767,2,8.334289825,10.66782796,0
1976,AL,0,4205.452637,40622.03055,2,8.344374967,10.61209044,0
1977,AL,0,4334.352539,41876.82825,2,8.37455821,10.64251181,0
1978,AL,0,4780.662109,42139.65841,2,8.472543487,10.64876831,0
1979,AL,0,4566.785156,39982.94123,2,8.426783718,10.59623318,0
1980,AL,0,4859.062988,38270.94434,2,8.488806677,10.55247238,0
1981,AL,0,4593.95459,37450.93746,2,8.432714152,10.53081372,0
1982,AL,0,4639.284668,37616.35474,2,8.442530994,10.53522079,0
1983,AL,0,4236.103027,38711.50854,2,8.351635066,10.56391805,0
1984,AL,0,4685.393555,42593.32488,2,8.452418601,10.6594763,0
1985,AL,0,4886.036133,46691.54564,2,8.494341291,10.75133981,0
1986,AL,0,4815.711914,46754.70868,2,8.479846799,10.75269164,0
1987,AL,0,4931.181641,44534.48349,2,8.503536693,10.70404153,0
1988,AL,0,5564.751465,44264.62956,2,8.624387289,10.6979638,0
1989,AL,0,5528.252441,43660.43845,2,8.617807903,10.68422058,0
1990,AL,0,5721.172852,43209.95795,2,8.652103881,10.6738494,0
1991,AL,0,5467.142578,43180.53236,2,8.606694273,10.67316819,0
1992,AL,0,5551.418457,41890.68596,2,8.62198887,10.64284266,0
1993,AL,0,5772.828613,43316.93758,2,8.661090677,10.67632209,0
1994,AL,0,6045.592773,45824.13093,2,8.707250214,10.73258793,0
1995,AL,0,6213.715332,44803.06956,2,8.7346752,10.71005425,0
1996,AL,0,6385.38916,45235.85099,2,8.761924311,10.71966732,0
1997,AL,0,6588.333008,44586.67793,2,8.79320741,10.70521282,0
1998,AL,0,6939.739258,47918.80933,2,8.845163569,10.77728425,0
1999,AL,0,7379.057129,48020.74604,2,8.906536659,10.77940923,0
2000,AL,0,7452.044922,48063.49409,2,8.916377942,10.78029901,0
1959,AR,0,1481.970215,24293.38635,3,7.301802258,10.09800059,0
1960,AR,0,1612.228394,25112.07415,3,7.385992664,10.13114387,0
1961,AR,0,1709.791016,26249.14638,3,7.444711125,10.17542684,0
1962,AR,0,1778.105835,27321.31121,3,7.483866177,10.21545891,0
1963,AR,0,1841.847534,28279.66542,3,7.519067227,10.24993365,0
1964,AR,0,2034.570801,29543.07097,3,7.61853155,10.29363836,0
1965,AR,0,2374.246094,32812.23619,3,7.77285633,10.39858726,0
1966,AR,0,2436.672363,34263.0569,3,7.798798914,10.44185218,0
1967,AR,0,2968.581055,36534.17127,3,7.996176163,10.50603067,0
1968,AR,0,2788.654053,38567.08935,3,7.933672872,10.56018051,0
1969,AR,0,3035.685791,37271.53296,3,8.018521999,10.52601195,0
1970,AR,0,2909.125244,37283.08073,3,7.975951398,10.52632172,0
1971,AR,0,3201.056152,37801.75743,3,8.07154843,10.54013733,0
1972,AR,0,3042.1521,38410.19994,3,8.020649132,10.55610436,0
1973,AR,0,3602.697266,38704.93867,3,8.189715616,10.56374832,0
1974,AR,0,3646.519043,38688.35419,3,8.201802501,10.56331976,0
1975,AR,0,3221.511719,39104.16948,3,8.077916371,10.57400995,0
1976,AR,0,3844.630859,37299.45503,3,8.254692941,10.5267608,0
1977,AR,0,4079.314453,37418.55447,3,8.313929336,10.52994869,0
1978,AR,0,3863.825928,37209.98726,3,8.259671922,10.52435935,0
1979,AR,0,4420.852539,37300.7923,3,8.394314014,10.52679666,0
1980,AR,0,4193.158203,35625.95686,3,8.341447932,10.48085785,0
1981,AR,0,4147.061035,34797.80289,3,8.330396284,10.45733827,0
1982,AR,0,4185.304199,35516.01223,3,8.339573571,10.47776708,0
1983,AR,0,4577.594238,37062.95262,3,8.429147295,10.52040015,0
1984,AR,0,4876.561523,39237.48716,3,8.492400686,10.57741336,0
1985,AR,0,5077.663086,39556.08852,3,8.532803334,10.58550019,0
1986,AR,0,5089.016113,39600.24347,3,8.535036275,10.5866158,0
1987,AR,0,5319.521484,39042.77376,3,8.579326601,10.5724387,0
1988,AR,0,5572.859375,39345.92778,3,8.625842979,10.58017318,0
1989,AR,0,5678.794922,39306.35252,3,8.644670406,10.57916687,0
1990,AR,0,5774.635742,41227.09978,3,8.661403615,10.62687534,0
1991,AR,0,6046.674316,43339.03122,3,8.707429067,10.676832,0
1992,AR,0,5997.392578,42636.7079,3,8.699246809,10.6604943,0
1993,AR,0,6055.041016,42400.95147,3,8.708811568,10.65494967,0
1994,AR,0,6159.414551,41799.95298,3,8.725899351,10.64067442,0
1995,AR,0,6296.897461,42256.22117,3,8.74797112,10.65153053,0
1996,AR,0,6302.74707,42496.60056,3,8.748899509,10.6572029,0
1997,AR,0,6396.456543,42921.02898,3,8.763655775,10.66714047,0
1998,AR,0,6629.567383,43276.75828,3,8.799445658,10.67539412,0
1999,AR,0,6907.50293,43697.58313,3,8.840508241,10.68507096,0
2000,AR,0,7050.188477,43865.72607,3,8.86095146,10.68891136,0
1959,AZ,0,2576.093262,41205.83946,4,7.8544174,10.62635953,0
1960,AZ,0,2827.441162,42752.10564,4,7.947481013,10.66319712,0
1961,AZ,0,2787.879883,44478.83438,4,7.933395319,10.70279121,0
1962,AZ,0,2962.116455,45772.85846,4,7.99399685,10.73146843,0
1963,AZ,0,3213.614014,46887.69831,4,8.075462572,10.75553195,0
1964,AZ,0,3240.42627,47128.23226,4,8.083768719,10.76064873,0
1965,AZ,0,3358.914795,48629.94921,4,8.119670894,10.79201542,0
1966,AZ,0,3942.481445,48658.7903,4,8.279819228,10.79260831,0
1967,AZ,0,3851.159912,47658.94393,4,8.256389286,10.77184657,0
1968,AZ,0,3770.149902,47145.21207,4,8.235135248,10.76100895,0
1969,AZ,0,4006.934326,51780.87195,4,8.296031257,10.8547954,0
1970,AZ,0,4262.080078,52181.70103,4,8.357747201,10.86250632,0
1971,AZ,0,4307.656738,54573.22509,4,8.368381473,10.90731698,0
1972,AZ,0,4776.262695,54566.1675,4,8.471623004,10.90718765,0
1973,AZ,0,4307.789551,51788.29822,4,8.368412297,10.85493881,0
1974,AZ,0,4931.396484,47720.20731,4,8.503580251,10.77313118,0
1975,AZ,0,5350.867188,50233.94242,4,8.585200786,10.82446613,0
1976,AZ,0,5036.654297,52666.84583,4,8.524695835,10.87176041,0
1977,AZ,0,4697.307129,51923.23695,4,8.454957537,10.85754095,0
1978,AZ,0,5032.783203,49102.7353,4,8.523927108,10.80169039,0
1979,AZ,0,5601.564453,47563.84144,4,8.63097971,10.76984914,0
1980,AZ,0,5538.725586,46372.62434,4,8.619700245,10.74448614,0
1981,AZ,0,5451.183594,46084.41964,4,8.603771467,10.7382519,0
1982,AZ,0,5503.82373,46156.6931,4,8.613380029,10.73981892,0
1983,AZ,0,5731.885742,47381.20506,4,8.653974303,10.76600202,0
1984,AZ,0,5688.993164,49067.84606,4,8.646464326,10.80097961,0
1985,AZ,0,6098.391113,50015.0758,4,8.715944228,10.82009975,0
1986,AZ,0,6837.011719,51672.90612,4,8.830252284,10.85270822,0
1987,AZ,0,6714.658203,52571.45958,4,8.812197124,10.86994768,0
1988,AZ,0,6871.486328,52338.96839,4,8.835281231,10.86551557,0
1989,AZ,0,6536.833008,51703.89123,4,8.785361045,10.85330766,0
1990,AZ,0,6439.154297,50533.26961,4,8.770307778,10.83040699,0
1991,AZ,0,6334.946777,49912.73134,4,8.753994533,10.81805142,0
1992,AZ,0,6354.381836,48727.66617,4,8.757057266,10.79402276,0
1993,AZ,0,6192.473145,47987.41038,4,8.731251298,10.77871481,0
1994,AZ,0,6274.219727,47216.04038,4,8.74436378,10.76251013,0
1995,AZ,0,6403.875,46477.1216,4,8.764814698,10.74673698,0
1996,AZ,0,6133.750977,46814.63764,4,8.721724766,10.75397256,0
1997,AZ,0,6242.854004,46750.93468,4,8.7393529,10.75261092,0
1998,AZ,0,6250.638672,46855.28466,4,8.740598896,10.75484042,0
1999,AZ,0,6583.71875,46660.84103,4,8.792506903,10.750682,0
2000,AZ,0,6991.713379,45969.04212,4,8.85262394,10.7357452,0
1959,CA,0,3470.725586,47072.57763,5,8.152407036,10.75946714,0
1960,CA,0,3587.322266,48030.36586,5,8.185440037,10.77960953,0
1961,CA,0,3655.099121,49283.80212,5,8.204152044,10.80537104,0
1962,CA,0,3514.268311,51371.3859,5,8.164871134,10.84685607,0
1963,CA,0,3393.973877,53243.33672,5,8.130051345,10.88264673,0
1964,CA,0,3822.491943,55569.10968,5,8.248919405,10.92540074,0
1965,CA,0,4019.936768,56417.66349,5,8.299270181,10.9405553,0
1966,CA,0,3891.758545,56869.54053,5,8.266873323,10.94853274,0
1967,CA,0,4415.857422,58104.73986,5,8.393183732,10.97001973,0
1968,CA,0,4158.991699,58900.1852,5,8.333268358,10.98361649,0
1969,CA,0,4951.547363,57930.40752,5,8.507657342,10.96701496,0
1970,CA,0,4782.344238,59010.00116,5,8.472895212,10.98547917,0
1971,CA,0,5280.316406,60840.31605,5,8.571930665,11.01602438,0
1972,CA,0,5109.57959,61347.81356,5,8.539068099,11.02433111,0
1973,CA,0,5938.546875,63108.54738,5,8.689388126,11.05262734,0
1974,CA,0,5230.300293,64266.80992,5,8.562415148,11.07081416,0
1975,CA,0,5190.746094,61606.9005,5,8.554825354,11.0285454,0
1976,CA,1,5971.107422,63232.40604,5,8.694855146,11.05458802,1
1977,CA,1,5933.423828,62502.19167,5,8.688525222,11.0429729,1
1978,CA,1,6327.830078,57353.41287,5,8.752870676,10.95700507,1
1979,CA,1,6806.294922,58418.58525,5,8.825750099,10.97540648,1
1980,CA,1,6385.45459,55843.77008,5,8.761934556,10.93033116,1
1981,CA,1,6359.904297,54585.96476,5,8.757925831,10.90755039,1
1982,CA,1,6141.924316,53777.35486,5,8.723056181,10.89262634,1
1983,CA,1,6501.876953,54389.20975,5,8.779999966,10.90393945,1
1984,CA,1,6814.064453,57525.64843,5,8.826890802,10.96000357,1
1985,CA,1,7162.64502,59033.19117,5,8.876774211,10.98587207,1
1986,CA,1,7504.125488,62225.54335,5,8.923341465,11.03853693,1
1987,CA,1,7442.161133,63727.63466,5,8.915050921,11.06238926,1
1988,CA,1,7750.044434,65617.71212,5,8.955582879,11.09161618,1
1989,CA,1,7917.700684,66820.09587,5,8.976982416,11.10977412,1
1990,CA,1,7666.428223,64999.70894,5,8.944736535,11.08215346,1
1991,CA,1,7428.54248,63915.06481,5,8.913219558,11.06532601,1
1992,CA,1,7171.02832,62222.89216,5,8.877943783,11.03849432,1
1993,CA,1,7119.783691,60759.90854,5,8.870773067,11.01470191,1
1994,CA,1,7060.679688,59835.92129,5,8.862438218,10.99937816,1
1995,CA,1,7064.290039,60464.75638,5,8.862949347,11.00983247,1
1996,CA,1,7310.169922,59749.29201,5,8.897158584,10.99792936,1
1997,CA,1,7668.51416,60573.37545,5,8.945008549,11.01162724,1
1998,CA,1,7761.047852,60734.61595,5,8.957001477,11.01428556,1
1999,CA,1,8264.53418,62406.42076,5,9.01984964,11.04143947,1
2000,CA,1,8848.206055,66455.16308,5,9.088083023,11.10429781,1
1959,CO,0,2603.033447,36534.6107,6,7.864816848,10.5060427,0
1960,CO,0,2843.619629,37182.52609,6,7.95318464,10.5236211,0
1961,CO,0,2915.805908,38061.81948,6,7.978244429,10.54699322,0
1962,CO,0,3047.523926,40251.62399,6,8.022412794,10.60293047,0
1963,CO,0,3160.864502,42259.79579,6,8.058917165,10.65161512,0
1964,CO,0,3133.29248,42380.23871,6,8.050158744,10.65446106,0
1965,CO,0,3299.203857,44241.13956,6,8.101739521,10.697433,0
1966,CO,0,3576.21167,44587.0658,6,8.182338913,10.70522152,0
1967,CO,0,3766.350586,45047.49495,6,8.234127271,10.71549485,0
1968,CO,0,3852.69873,44663.88512,6,8.256788675,10.7069429,0
1969,CO,0,4076.254883,45156.00996,6,8.313179218,10.71790081,0
1970,CO,0,4080.359619,46421.20091,6,8.314185452,10.74553309,0
1971,CO,0,4631.977539,48930.68958,6,8.440955037,10.79818051,0
1972,CO,0,4660.663086,50987.54505,6,8.447127549,10.83935628,0
1973,CO,0,5072.818848,50093.94422,6,8.531849037,10.82167537,0
1974,CO,0,4921.049805,48343.85633,6,8.50148035,10.78611511,0
1975,CO,0,5341.178711,48637.02671,6,8.583388847,10.79216095,0
1976,CO,0,5513.085449,50267.84667,6,8.615061088,10.82514081,0
1977,CO,0,5535.293457,50469.53025,6,8.619080505,10.82914489,0
1978,CO,0,6640.646973,50132.81584,6,8.80111525,10.82245103,0
1979,CO,0,6781.73877,48675.14615,6,8.822136248,10.79294438,0
1980,CO,0,6639.041504,47346.46665,6,8.800873493,10.76526859,0
1981,CO,0,6613.320312,46962.40088,6,8.796992322,10.75712387,0
1982,CO,0,6655.675781,48416.34077,6,8.803375507,10.78761331,0
1983,CO,0,6852.609863,50958.54954,6,8.83253078,10.83878745,0
1984,CO,0,7187.969238,51321.86088,6,8.88030308,10.84589156,0
1985,CO,0,7429.03125,52471.24565,6,8.913285344,10.86803965,0
1986,CO,0,7588.79248,54488.13645,6,8.934559529,10.90575663,0
1987,CO,0,7443.738281,54995.79701,6,8.915262791,10.91503023,0
1988,CO,0,7650.420898,54752.69894,6,8.942646648,10.91060021,0
1989,CO,0,7661.56543,54088.4391,6,8.944102119,10.89839423,0
1990,CO,0,7678.775391,53246.0398,6,8.94634558,10.88269749,0
1991,CO,0,7435.1875,52948.22462,6,8.914113564,10.87708871,0
1992,CO,0,7407.623535,52129.83704,6,8.910399943,10.86151193,0
1993,CO,0,7133.524414,51044.72149,6,8.872700872,10.84047701,0
1994,CO,0,7426.581543,50866.49211,6,8.912955586,10.83697934,0
1995,CO,0,7326.595215,50599.29588,6,8.899402667,10.8317127,0
1996,CO,0,7382.306152,50408.60092,6,8.906976805,10.82793693,0
1997,CO,0,7684.771973,50594.42642,6,8.947126103,10.83161646,0
1998,CO,0,7923.062988,50868.58528,6,8.977659357,10.83702049,0
1999,CO,0,8134.770508,49950.00494,6,9.00402573,10.8187979,0
2000,CO,0,8316.334961,49618.50439,6,9.026097165,10.81213927,0
1959,CT,0,2912.548096,44105.75942,7,7.977126894,10.69436832,0
1960,CT,0,3169.792236,44970.79484,7,8.061736752,10.71379079,0
1961,CT,0,3334.344238,47174.45359,7,8.112331173,10.76162899,0
1962,CT,0,3478.572998,47844.15674,7,8.154664864,10.77572517,0
1963,CT,0,3583.700684,48342.18879,7,8.184430258,10.78608062,0
1964,CT,0,3830.512695,49062.6,7,8.251014964,10.80087269,0
1965,CT,1,4022.431641,49841.37143,7,8.299890459,10.81662073,1
1966,CT,1,4059.39917,50206.71862,7,8.309036565,10.82392405,1
1967,CT,1,4718.310547,50433.60847,7,8.459417997,10.82843289,1
1968,CT,1,4658.291504,53260.80577,7,8.446618678,10.88297476,1
1969,CT,1,5411.36377,53949.54874,7,8.596441202,10.89582314,1
1970,CT,1,5092.079102,53952.00106,7,8.535637858,10.8958686,1
1971,CT,1,5837.664551,54266.33146,7,8.672257377,10.90167769,1
1972,CT,1,6042.504395,55296.49862,7,8.70673932,10.92048295,1
1973,CT,1,6203.146484,54170.21616,7,8.732973135,10.89990498,1
1974,CT,1,6131.323242,50285.57206,7,8.721328953,10.82549336,1
1975,CT,1,6227.510742,48126.33793,7,8.736892537,10.78160565,1
1976,CT,1,6788.012695,52314.27726,7,8.823060804,10.86504372,1
1977,CT,1,6246.321289,52311.85161,7,8.739908057,10.86499735,1
1978,CT,1,6471.899414,51818.40218,7,8.775379419,10.85551992,1
1979,CT,1,6508.620605,49483.0947,7,8.781036455,10.80940658,1
1980,CT,1,7174.624512,46751.04676,7,8.878445077,10.75261331,1
1981,CT,1,7326.268066,45237.62353,7,8.89935802,10.7197065,1
1982,CT,1,7947.635742,46870.74176,7,8.980755588,10.75517025,1
1983,CT,1,8337.100586,49537.68261,7,9.028590722,10.81050911,1
1984,CT,1,9494.161133,51351.24283,7,9.158537593,10.84646389,1
1985,CT,1,9404.445312,53926.30337,7,9.149044089,10.89539218,1
1986,CT,1,10246.86426,58035.52563,7,9.234824598,10.96882784,1
1987,CT,1,11334.67285,64833.27073,7,9.335709922,11.07958961,1
1988,CT,1,11942.69043,68418.52432,7,9.38795842,11.13341351,1
1989,CT,1,12970.67188,71151.3211,7,9.470523172,11.17257823,1
1990,CT,1,12590.97656,72934.47834,7,9.440815109,11.19733047,1
1991,CT,1,12199.28906,75200.50371,7,9.409214924,11.22792651,1
1992,CT,1,11898.17383,75135.28852,7,9.38422425,11.22705892,1
1993,CT,1,11991.75,75103.31532,7,9.39205758,11.2266333,1
1994,CT,1,12330.4375,75480.92463,7,9.419907175,11.2316485,1
1995,CT,1,12061.56836,71904.11196,7,9.397862413,11.18310264,1
1996,CT,1,11924.15625,70080.8941,7,9.386405418,11.15741975,1
1997,CT,1,12093.34082,68921.99925,7,9.400492921,11.14074521,1
1998,CT,1,12465.51953,69007.36628,7,9.430801892,11.14198303,1
1999,CT,1,12764.69922,67772.7447,7,9.454517104,11.12393015,1
2000,CT,1,12823.81641,66724.88392,7,9.459137355,11.10834822,1
1959,DE,0,3096.973877,42219.58047,8,8.038503589,10.65066307,0
1960,DE,0,3287.19751,43306.21583,8,8.098094824,10.67607455,0
1961,DE,0,3351.461914,44653.45203,8,8.117450255,10.70670929,0
1962,DE,0,3570.067627,46229.93378,8,8.180619885,10.74140442,0
1963,DE,0,3632.773438,47619.27633,8,8.198026902,10.77101392,0
1964,DE,0,3533.531982,47831.63871,8,8.170336174,10.7754635,0
1965,DE,0,3577.573242,49495.25079,8,8.182719464,10.8096522,0
1966,DE,0,3943.256592,49802.91123,8,8.280015772,10.8158488,0
1967,DE,0,4533.435547,49780.74623,8,8.419455889,10.81540365,0
1968,DE,0,4362.751953,51381.01262,8,8.381087506,10.84704344,0
1969,DE,0,4952.280762,52880.0643,8,8.507805416,10.8758006,0
1970,DE,1,4966.10791,54963.60108,8,8.51059304,10.91444464,1
1971,DE,1,5493.963867,54977.03249,8,8.611587291,10.91468898,1
1972,DE,1,5588.838867,55348.66513,8,8.628705741,10.92142589,1
1973,DE,1,6203.133301,55594.45575,8,8.73297101,10.92585675,1
1974,DE,1,5944.979004,51130.37321,8,8.690470472,10.84215354,1
1975,DE,1,5969.491211,50845.95834,8,8.694584483,10.83657558,1
1976,DE,1,6581.796875,50470.95682,8,8.792214991,10.82917315,1
1977,DE,1,7032.662598,49426.02791,8,8.858462845,10.80825268,1
1978,DE,1,6359.886719,45938.91651,8,8.757923068,10.73508966,1
1979,DE,1,7769.240234,48500.94163,8,8.958056361,10.78935911,1
1980,DE,1,7199.637695,46889.97806,8,8.88192487,10.75558057,1
1981,DE,1,6944.096191,46273.92926,8,8.845791106,10.74235561,1
1982,DE,1,7176.111816,45446.03391,8,8.878652327,10.72430284,1
1983,DE,1,7754.561035,45831.16841,8,8.956165418,10.73274149,1
1984,DE,1,8077.474121,48110.83417,8,8.996958287,10.78128346,1
1985,DE,1,8541.447266,49901.58941,8,9.052802811,10.81782817,1
1986,DE,1,8811.224609,54647.30142,8,9.083895197,10.90867341,1
1987,DE,1,8841.763672,56765.58252,8,9.087354739,10.9467031,1
1988,DE,1,9138.765625,58016.16587,8,9.120390021,10.96849421,1
1989,DE,1,9366.353516,58693.99284,8,9.144985893,10.9801097,1
1990,DE,1,9105.959961,56662.0281,8,9.116794231,10.94487722,1
1991,DE,1,8963.310547,55311.29851,8,9.101006478,10.92075056,1
1992,DE,1,8941.417969,56288.90934,8,9.098561298,10.93827057,1
1993,DE,1,9206.250977,56542.14716,8,9.127746602,10.94275929,1
1994,DE,1,9566.456055,57494.98267,8,9.166122624,10.95947036,1
1995,DE,1,9580.545898,57995.17193,8,9.167594225,10.96813229,1
1996,DE,1,9915.404297,57586.79903,8,9.201945664,10.961066,1
1997,DE,1,10080.69824,57657.81049,8,9.218477004,10.96229834,1
1998,DE,1,10308.70117,57743.36923,8,9.240840592,10.96378112,1
1999,DE,1,10876.19336,58159.1717,8,9.294423524,10.97095606,1
2000,DE,1,11342.99316,59575.38219,8,9.336443646,10.9950145,1
1959,FL,0,2085.515869,37181.91951,9,7.643250906,10.52360478,0
1960,FL,0,2331.922852,38609.41838,9,7.754877203,10.56127743,0
1961,FL,0,2430.56543,40164.55883,9,7.796290539,10.60076516,0
1962,FL,0,2543.115967,41897.38529,9,7.841538508,10.64300257,0
1963,FL,0,2662.03418,43453.65434,9,7.887221421,10.67947324,0
1964,FL,0,2762.810547,43189.15613,9,7.924365639,10.67336788,0
1965,FL,0,2871.706055,44545.72571,9,7.963009741,10.70429393,0
1966,FL,0,3027.489746,43947.7041,9,8.015819341,10.69077842,0
1967,FL,0,3510.564697,47006.08168,9,8.163817,10.75805354,0
1968,FL,0,3869.828369,50942.39422,9,8.261223812,10.83847038,0
1969,FL,0,4056.175781,49315.11614,9,8.30824239,10.80600621,0
1970,FL,0,4094.795166,49484.10097,9,8.317716157,10.80942691,0
1971,FL,0,4290.181152,48564.57086,9,8.364317301,10.79067014,0
1972,FL,0,4265.433594,48097.5205,9,8.358533533,10.7810067,0
1973,FL,0,4689.586426,51223.51355,9,8.453312891,10.84397348,0
1974,FL,1,4582.959961,45513.10902,9,8.430318524,10.72577765,1
1975,FL,1,5274.202637,42541.18603,9,8.570772372,10.65825148,1
1976,FL,1,5153.043457,41430.63889,9,8.547536823,10.63180009,1
1977,FL,1,5191.296387,40286.38676,9,8.554931342,10.60379372,1
1978,FL,1,5700.825684,45300.1328,9,8.648541698,10.72108732,1
1979,FL,1,5508.821289,42496.89268,9,8.614287468,10.65720977,1
1980,FL,1,5846.699219,40923.87075,9,8.673803567,10.61949324,1
1981,FL,1,5727.580078,40252.80108,9,8.653222974,10.60295972,1
1982,FL,1,5703.794434,40986.61923,9,8.649062229,10.62102533,1
1983,FL,1,5959.710938,42685.11945,9,8.692945038,10.66162907,1
1984,FL,1,6319.191406,43728.72713,9,8.751504772,10.6857834,1
1985,FL,1,6606.043457,45090.57685,9,8.795891549,10.71645074,1
1986,FL,1,6993.748047,47417.23285,9,8.852914867,10.76676209,1
1987,FL,1,7251.275879,48367.7391,9,8.889070613,10.786609,1
1988,FL,1,7760.493652,49768.56193,9,8.956930076,10.81515887,1
1989,FL,1,8084.140137,50650.54006,9,8.997783105,10.83272492,1
1990,FL,1,8106.821777,49945.16906,9,9.000584526,10.81870109,1
1991,FL,1,7717.813477,49743.02549,9,8.951415936,10.81464564,1
1992,FL,1,7578.081543,48447.90794,9,8.933147303,10.78826508,1
1993,FL,1,7639.899414,48204.71186,9,8.9412706,10.7832328,1
1994,FL,1,7680.05127,47948.77918,9,8.946511701,10.77790948,1
1995,FL,1,7548.060547,47689.02081,9,8.929178404,10.77247745,1
1996,FL,1,7449.464355,47098.15214,9,8.916031639,10.76001028,1
1997,FL,1,7543.33252,46837.88536,9,8.928551901,10.75446902,1
1998,FL,1,7745.371582,47084.0428,9,8.95497983,10.75971067,1
1999,FL,1,7631.996582,48063.93841,9,8.940235784,10.78030826,1
2000,FL,1,7813.387695,48410.45893,9,8.96372189,10.78749182,1
1959,GA,0,1642.960938,28489.65296,10,7.404863815,10.25733135,0
1960,GA,0,1818.385742,30185.83687,10,7.506254219,10.31516124,0
1961,GA,0,1917.157227,31982.39251,10,7.559120226,10.37297206,0
1962,GA,0,1992.545532,33207.75759,10,7.597670007,10.4105689,0
1963,GA,0,2062.609863,34296.57095,10,7.632212089,10.44282981,0
1964,GA,0,2109.710938,35522.02581,10,7.654780107,10.47793638,0
1965,GA,0,2423.421143,37034.90794,10,7.793348071,10.51964321,0
